exercise,sets,reps,weight,date,rpe,rir,logged_at
Military Press (Standing),3,10,100.0,2015-12-28,,,2015-12-28T19:05:32
Seated Military Press (Dumbbell),3,12,180.0,2015-12-28,,,2015-12-28T19:05:32
Seated Shoulder Press (Dumbbell),3,12,180.0,2015-12-28,,,2015-12-28T19:05:32
Shoulder Press (Standing),3,10,100.0,2015-12-28,,,2015-12-28T19:05:32
Weighted dips,6,10,100.0,2015-12-28,,,2015-12-28T19:05:32
Bicep Curl (Barbell),3,10,90.0,2015-12-31,,,2015-12-31T17:38:40
Bicep Curl (barbell ),3,10,90.0,2015-12-31,,,2015-12-31T17:38:40
Chin Up,8,10,0.0,2015-12-31,,,2015-12-31T17:38:40
Hammer Curl,2,10,60.0,2015-12-31,,,2015-12-31T17:38:40
Hammer Curl (Dumbbell ),2,10,60.0,2015-12-31,,,2015-12-31T17:38:40
Lat Pulldown,6,12,150.0,2015-12-31,,,2015-12-31T17:38:40
Rear delt fly,6,12,130.0,2015-12-31,,,2015-12-31T17:38:40
Seated Cable Row (close Grip),3,10,175.0,2015-12-31,,,2015-12-31T17:38:40
Seated Row,3,10,175.0,2015-12-31,,,2015-12-31T17:38:40
Squat,4,9,225.0,2016-01-01,,,2016-01-01T08:59:41
Squat (Barbell),4,9,225.0,2016-01-01,,,2016-01-01T08:59:41
Incline Bench Press,3,8,240.0,2016-01-02,,,2016-01-02T13:58:40
Incline Bench Press (Barbell),3,8,240.0,2016-01-02,,,2016-01-02T13:58:40
Lateral Raise,2,12,50.0,2016-01-02,,,2016-01-02T13:58:40
Lateral Raise (Dumbbells),2,12,50.0,2016-01-02,,,2016-01-02T13:58:40
Weighted dips,4,8,90.0,2016-01-02,,,2016-01-02T13:58:40
Incline Bench Press,3,8,245.0,2016-01-06,,,2016-01-06T18:08:52
Incline Bench Press (Barbell),3,8,245.0,2016-01-06,,,2016-01-06T18:08:52
Weighted dips,4,8,115.0,2016-01-06,,,2016-01-06T18:08:52
Chin Up,6,12,0.0,2016-01-06,,,2016-01-06T18:32:40
Hammer Curl,2,12,65.0,2016-01-06,,,2016-01-06T18:32:40
Hammer Curl (Dumbbell ),2,12,65.0,2016-01-06,,,2016-01-06T18:32:40
Hammer back row wide 45 angle,8,10,180.0,2016-01-06,,,2016-01-06T18:32:40
Lat Pulldown,4,8,145.0,2016-01-06,,,2016-01-06T18:32:40
Squat,2,6,185.0,2016-01-08,,,2016-01-08T17:50:44
Squat (Barbell),2,6,185.0,2016-01-08,,,2016-01-08T17:50:44
Lateral Raise,2,10,60.0,2016-01-10,,,2016-01-10T08:03:39
Lateral Raise (Dumbbells),2,10,60.0,2016-01-10,,,2016-01-10T08:03:39
Seated Military Press,2,8,215.0,2016-01-10,,,2016-01-10T08:03:39
Seated Shoulder  Press (Barbell),2,8,215.0,2016-01-10,,,2016-01-10T08:03:39
Weighted dips,6,8,90.0,2016-01-10,,,2016-01-10T08:03:39
Chin Up,8,10,35.0,2016-01-12,,,2016-01-12T19:52:07
Hammer back row wide 45 angle,6,8,210.0,2016-01-12,,,2016-01-12T19:52:07
Squat,3,8,315.0,2016-01-13,,,2016-01-13T21:01:52
Squat (Barbell),3,8,315.0,2016-01-13,,,2016-01-13T21:01:52
Incline Bench Press,2,8,240.0,2016-01-15,,,2016-01-15T20:06:48
Incline Bench Press (Barbell),2,8,240.0,2016-01-15,,,2016-01-15T20:06:48
Seated Military Press,3,10,165.0,2016-01-15,,,2016-01-15T20:06:48
Seated Shoulder  Press (Barbell),3,10,165.0,2016-01-15,,,2016-01-15T20:06:48
Weighted dips,6,11,0.0,2016-01-15,,,2016-01-15T20:06:48
Chin Up,6,8,0.0,2016-01-23,,,2016-01-23T14:20:50
Incline Bench Press,3,8,235.0,2016-01-23,,,2016-01-23T14:20:50
Incline Bench Press (Barbell),3,8,235.0,2016-01-23,,,2016-01-23T14:20:50
Lateral Raise,3,10,50.0,2016-01-23,,,2016-01-23T14:20:50
Lateral Raise (Dumbbells),3,10,50.0,2016-01-23,,,2016-01-23T14:20:50
Weighted dips,8,8,0.0,2016-01-23,,,2016-01-23T14:20:50
Bicep Curl (Barbell),1,12,90.0,2016-01-24,,,2016-01-24T12:18:25
Bicep Curl (barbell ),1,12,90.0,2016-01-24,,,2016-01-24T12:18:25
Chin Up,6,10,50.0,2016-01-24,,,2016-01-24T12:18:25
Rear delt fly,6,15,115.0,2016-01-24,,,2016-01-24T12:18:25
Seated Cable Row (close Grip),3,10,190.0,2016-01-24,,,2016-01-24T12:18:25
Seated Row,3,10,190.0,2016-01-24,,,2016-01-24T12:18:25
Leg curl,2,10,125.0,2016-01-25,,,2016-01-25T20:01:01
Squat,2,6,335.0,2016-01-25,,,2016-01-25T20:01:01
Squat (Barbell),2,6,335.0,2016-01-25,,,2016-01-25T20:01:01
Seated Military Press (Dumbbell),3,11,180.0,2016-01-28,,,2016-01-28T20:17:28
Seated Shoulder Press (Dumbbell),3,11,180.0,2016-01-28,,,2016-01-28T20:17:28
Weighted dips,6,10,100.0,2016-01-28,,,2016-01-28T20:17:28
Chin Up,6,9,52.5,2016-01-30,,,2016-01-30T15:01:17
Hammer lat pulldown,6,10,180.0,2016-01-30,,,2016-01-30T15:01:17
Rear delt fly,4,15,125.0,2016-01-30,,,2016-01-30T15:01:17
Seated Cable Row (close Grip),2,8,190.0,2016-01-30,,,2016-01-30T15:01:17
Seated Row,2,8,190.0,2016-01-30,,,2016-01-30T15:01:17
Deadlift,3,5,345.0,2016-01-31,,,2016-01-31T15:20:03
Deadlift (Barbell),3,5,345.0,2016-01-31,,,2016-01-31T15:20:03
Squat,3,6,185.0,2016-01-31,,,2016-01-31T15:20:03
Squat (Barbell),3,6,185.0,2016-01-31,,,2016-01-31T15:20:03
Incline Bench Press,3,8,240.0,2016-02-01,,,2016-02-01T18:09:30
Incline Bench Press (Barbell),3,8,240.0,2016-02-01,,,2016-02-01T18:09:30
Lateral Raise,1,8,50.0,2016-02-01,,,2016-02-01T18:09:30
Lateral Raise (Dumbbells),1,8,50.0,2016-02-01,,,2016-02-01T18:09:30
Weighted dips,2,8,115.0,2016-02-01,,,2016-02-01T18:09:30
Chin Up,6,12,45.0,2016-02-04,,,2016-02-04T18:37:10
T-bar Row,6,12,115.0,2016-02-04,,,2016-02-04T18:37:10
Incline Bench Press,4,8,240.0,2016-02-05,,,2016-02-05T20:09:54
Incline Bench Press (Barbell),4,8,240.0,2016-02-05,,,2016-02-05T20:09:54
Weighted dips,6,8,0.0,2016-02-05,,,2016-02-05T20:09:54
Bicep Curl (Barbell),2,10,70.0,2016-02-11,,,2016-02-11T13:33:03
Bicep Curl (barbell ),2,10,70.0,2016-02-11,,,2016-02-11T13:33:03
Chin Up,12,10,0.0,2016-02-11,,,2016-02-11T13:33:03
Hammer back row wide 45 angle,4,10,180.0,2016-02-11,,,2016-02-11T13:33:03
Lat Pulldown,6,10,145.0,2016-02-11,,,2016-02-11T13:33:03
Rear delt fly,4,10,115.0,2016-02-11,,,2016-02-11T13:33:03
Incline Bench Press,3,8,225.0,2016-02-11,,,2016-02-11T17:29:56
Incline Bench Press (Barbell),3,8,225.0,2016-02-11,,,2016-02-11T17:29:56
Seated Military Press,2,8,185.0,2016-02-11,,,2016-02-11T17:29:56
Seated Shoulder  Press (Barbell),2,8,185.0,2016-02-11,,,2016-02-11T17:29:56
Bicep Curl (Barbell),3,10,95.0,2016-02-15,,,2016-02-15T15:25:09
Bicep Curl (barbell ),3,10,95.0,2016-02-15,,,2016-02-15T15:25:09
Chin Up,8,11,45.0,2016-02-15,,,2016-02-15T15:25:09
Rear delt fly,6,15,115.0,2016-02-15,,,2016-02-15T15:25:09
Seated Cable Row (close Grip),3,10,190.0,2016-02-15,,,2016-02-15T15:25:09
Seated Row,3,10,190.0,2016-02-15,,,2016-02-15T15:25:09
Squat,4,8,275.0,2016-02-15,,,2016-02-15T18:39:10
Squat (Barbell),4,8,275.0,2016-02-15,,,2016-02-15T18:39:10
Incline Bench Press,3,8,235.0,2016-02-16,,,2016-02-16T18:39:10
Incline Bench Press (Barbell),3,8,235.0,2016-02-16,,,2016-02-16T18:39:10
Weighted dips,6,8,115.0,2016-02-16,,,2016-02-16T18:39:10
Lateral Raise,2,12,50.0,2016-02-23,,,2016-02-23T13:32:12
Lateral Raise (Dumbbells),2,12,50.0,2016-02-23,,,2016-02-23T13:32:12
Seated Military Press,2,8,195.0,2016-02-23,,,2016-02-23T13:32:12
Seated Shoulder  Press (Barbell),2,8,195.0,2016-02-23,,,2016-02-23T13:32:12
Weighted dips,6,10,45.0,2016-02-23,,,2016-02-23T13:32:12
Squat,3,8,315.0,2016-02-23,,,2016-02-23T21:04:09
Squat (Barbell),3,8,315.0,2016-02-23,,,2016-02-23T21:04:09
Incline Bench Press,3,8,235.0,2016-02-28,,,2016-02-28T14:04:22
Incline Bench Press (Barbell),3,8,235.0,2016-02-28,,,2016-02-28T14:04:22
Lateral Raise,3,10,50.0,2016-02-28,,,2016-02-28T14:04:22
Lateral Raise (Dumbbells),3,10,50.0,2016-02-28,,,2016-02-28T14:04:22
Seated Military Press,3,10,175.0,2016-02-28,,,2016-02-28T14:04:22
Seated Shoulder  Press (Barbell),3,10,175.0,2016-02-28,,,2016-02-28T14:04:22
Bicep Curl (Barbell),3,10,95.0,2016-02-28,,,2016-02-28T19:32:44
Bicep Curl (barbell ),3,10,95.0,2016-02-28,,,2016-02-28T19:32:44
Chin Up,4,10,52.5,2016-02-28,,,2016-02-28T19:32:44
Rear delt fly,6,12,130.0,2016-02-28,,,2016-02-28T19:32:44
Seated Cable Row (close Grip),4,12,150.0,2016-02-28,,,2016-02-28T19:32:44
Seated Row,4,12,150.0,2016-02-28,,,2016-02-28T19:32:44
Leg outward fly,6,12,110.0,2016-02-29,,,2016-02-29T19:08:37
Squat,3,8,315.0,2016-02-29,,,2016-02-29T19:08:37
Squat (Barbell),3,8,315.0,2016-02-29,,,2016-02-29T19:08:37
Seated Military Press,2,8,210.0,2016-03-03,,,2016-03-03T12:52:05
Seated Shoulder  Press (Barbell),2,8,210.0,2016-03-03,,,2016-03-03T12:52:05
Weighted dips,4,10,90.0,2016-03-03,,,2016-03-03T12:52:05
Squat,2,6,320.0,2016-03-03,,,2016-03-03T17:39:01
Squat (Barbell),2,6,320.0,2016-03-03,,,2016-03-03T17:39:01
Bicep Curl (Barbell),2,12,95.0,2016-03-05,,,2016-03-05T11:37:57
Bicep Curl (barbell ),2,12,95.0,2016-03-05,,,2016-03-05T11:37:57
Chin Up,6,10,52.5,2016-03-05,,,2016-03-05T11:37:57
Rear delt fly,4,11,115.0,2016-03-05,,,2016-03-05T11:37:57
Seated Cable Row (close Grip),2,11,145.0,2016-03-05,,,2016-03-05T11:37:57
Seated Row,2,11,145.0,2016-03-05,,,2016-03-05T11:37:57
Incline Bench Press,2,6,245.0,2016-03-06,,,2016-03-06T12:25:22
Incline Bench Press (Barbell),2,6,245.0,2016-03-06,,,2016-03-06T12:25:22
Rotator cuff work.,6,12,10.0,2016-03-06,,,2016-03-06T12:25:22
Seated Military Press (Dumbbell),3,10,140.0,2016-03-06,,,2016-03-06T12:25:22
